3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
113.0851 	EXP 	fixation: autoDraw = True
114.0854 	EXP 	fixation: autoDraw = False
114.0854 	EXP 	grating: autoDraw = True
114.3852 	EXP 	grating: autoDraw = False
114.5588 	EXP 	New trial (rep=57, index=0): None
114.5623 	DATA 	Keypress: up
114.5686 	EXP 	fixation: autoDraw = False
114.5686 	EXP 	grating: autoDraw = False
114.5686 	EXP 	grating: ori = 0.0
114.5686 	EXP 	fixation: autoDraw = True
115.5688 	EXP 	fixation: autoDraw = False
115.5688 	EXP 	grating: autoDraw = True
115.8684 	EXP 	grating: autoDraw = False
116.0923 	EXP 	New trial (rep=58, index=0): None
116.0960 	DATA 	Keypress: up
116.1019 	EXP 	fixation: autoDraw = False
116.1019 	EXP 	grating: autoDraw = False
116.1019 	EXP 	grating: ori = -5.0
116.1019 	EXP 	fixation: autoDraw = True
117.1025 	EXP 	fixation: autoDraw = False
117.1025 	EXP 	grating: autoDraw = True
117.4021 	EXP 	grating: autoDraw = False
117.6056 	DATA 	Keypress: down
117.6250 	EXP 	New trial (rep=59, index=0): None
117.6352 	EXP 	fixation: autoDraw = False
117.6352 	EXP 	grating: autoDraw = False
117.6352 	EXP 	grating: ori = 4.0
117.6352 	EXP 	fixation: autoDraw = True
118.6357 	EXP 	fixation: autoDraw = False
118.6357 	EXP 	grating: autoDraw = True
118.9352 	EXP 	grating: autoDraw = False
119.0110 	EXP 	New trial (rep=60, index=0): None
119.0147 	DATA 	Keypress: down
119.0189 	EXP 	fixation: autoDraw = False
119.0189 	EXP 	grating: autoDraw = False
